id,rating,content,source,final_emotion,final_category,length,split
6671,3.0,"Бюрократія як вона є. Для того щоб взяти одну довідку, треба відксерити весь світ. І все одно буде треба шось ще. Нам ще дуже далеко від «країни в смартфоні». Стосовно самого відділу, працівники могли б бути трохи більш ввічливими з тими, за чий рахунок вони отримують заробітню плату.",original,Anger,Complaint / Dissatisfaction,285,train
16621,1.0,"За в’їзд можна заплатити лише готівкою, а охорона надзвичайно груба, вони не сприяють іноземцям, а коли вони запитали, з якої я країни, і сказали, що я британець, тоді сказали, що їх це не хвилює",original,Anger,Complaint / Dissatisfaction,195,train
667,5.0,Був там лише раз коли змінював місце голосування. Сподобався сервіс. Можливо мені просто пощастило.,original,Happiness,Gratitude / Positive Feedback,99,train
12369,5.0,"Була на консультації у Віктора Миколайовича,отримала професійну відповідь на свої запитання.Вдячна за чітку відповідь фахівця.",original,Happiness,Gratitude / Positive Feedback,126,train
6168,5.0,Згадую про цей навчальний заклад з посмішкою на обличчі. Мої найкращі студентські роки,original,Happiness,Gratitude / Positive Feedback,86,train
1247,5.0,"Хочу подякувати всім працівникам візового центру за професіоналізм, тепле ставлення та, звичайно ж, за якісну роботу, виконану вчасно!",original,Happiness,Gratitude / Positive Feedback,134,train
1818,5.0,Дуже вдячна адміністратору ЦНАП Зінов'євій Вікторії Юріївні. Бажаю миру і здоров'я!,original,Happiness,Gratitude / Positive Feedback,83,train
11993,5.0,"Хочу висловити щиру подяку Валерії Павлівні і Андрію Юрійович за професійну юридичну допомогу у вирішенні складної життєвої позиції.Сердечно дякую Вам за якісну роботу, високий рівень професіоналізму, відповідальність,порядність і…",original,Happiness,Gratitude / Positive Feedback,231,train
14137,5.0,"Щиро дякую всім працівникам сервісного центру за уважність, людяність та високий професіоналізм! У самому приміщенні панує затишок та підтримка.
Склала сьогодні з першої спроби з інспектором Олегом Михайловичем: все чітко, зрозуміло, завчасно; атмосфера спокою, підтримки та поваги. Дякую Вам!!!",original,Happiness,Gratitude / Positive Feedback,295,train
6907,5.0,"Звертався не один раз, та рекомендував знайомим. За адекватну суму послуги - зміг зробити документи швидко, без черг, з комфортом.…",original,Happiness,Gratitude / Positive Feedback,131,train
13898,5.0,"Проходила практичний іспит у сервісному центрі МВС 3248 м. Переяслав — залишились тільки позитивні враження!
🔹 Екзаменатори — професіонали своєї справи: чітко та зрозуміло пояснюють…",original,Happiness,Gratitude / Positive Feedback,182,train
12587,5.0,"Був на консультації у юриста Олександра Володимировича з питань мобілізації, мені все докладно пояснили, дуже задоволений , буду звертатись ще",original,Happiness,Gratitude / Positive Feedback,142,train
5344,1.0,"Не раджу зв'язуватися із цією конторою. Принцип їх роботи-взяти гроші авансом і більше. Якщо проблеми відбуваються з їхнього боку і хочеш піти з цієї багадільні, добиватись повернення дуже сумнівне задоволення. Було обіцяно вирішити питання…",original,Anger,Complaint / Dissatisfaction,241,train
10001201,,"Цифрова держава Повідомлення 123 від 18.04.2023 року надіслано  Згодом буде створено спеціальну комісію, яка оцінить збитки. Ми сповістимо вас про наступні кроки, коли буде визначено порядок та розпочато процес компенсації  Разом до перемоги! Слава Україні!                                                                                                                    А далі буде?",original,Neutral,Question / Request for Help,385,train
9411,5.0,"Сьогодні отримала водійське посвідчення категорії В. Теорію склала з першого разу, практику з 4. Не так швидко, як планувала, але щиро хочу подякувати Олександру Т. за ефективну організацію роботи Сервісного центру та всьому колективу, адже…",original,Happiness,Gratitude / Positive Feedback,241,train
3099,5.0,Старий університет поки що вчить. Наразі налаштований на підготовку фахівців для Європи. Стає більш політехнічним,original,Neutral,Neutral Comment,113,train
6254,1.0,"Доброго дня. 20 грудня 2019 року принесла Декларацію про майновий стан та доходи на перевірку до 7го вікна. Все перевірили. Приношу  заповнену декларацію 8 січня 2020 і мені кажуть , що з вересня !!!! 2019 року новий вигляд у деклараціі.…",original,Anger,Complaint / Dissatisfaction,238,train
3479,5.0,"За час навчання в університеті отримала максимально великий багаж знань та практичних вмінь. Університет подарував мені багато друзів та приємних спогадів. Загалом, я вважаю, що зробила правильний вибір.",original,Happiness,Gratitude / Positive Feedback,203,train
17036,5.0,"Швидке обслуговування. Міняв тут свій український паспорт, все зроблено оперативно, якісно та приємно. Дякую!",original,Happiness,Gratitude / Positive Feedback,109,train
1218,1.0,"Знущаються над людьми.
Для них війни немає, змушують пенсіонерів з Німеччини приїздити щоб щось їм особисто довести, керівництво з іншої планети - як у тому фільмі.",original,Anger,Complaint / Dissatisfaction,164,train
14036,5.0,Дуже вдячна всім працівникам Сервісного центру. А особлива подяка Бобрику Івану Олександровичу за кваліфіковане оцінювання.,original,Happiness,Gratitude / Positive Feedback,123,train
16087,5.0,"Це місце, в якому треба побувати кожному обов'язково. Екскурсія 40 хв, цікаво та легко. Потім можна ходити і гуляти самостійно.",original,Happiness,Gratitude / Positive Feedback,127,train
904,5.0,Шевченківський суд втратив свою першість з появою цього суду,original,Neutral,Neutral Comment,60,train
1255,,"Цікавий університет. Особливо столові, за 30 грн. навіть не уявляв, що можна наїстися в 2017.",original,Surprise,Gratitude / Positive Feedback,93,train
15934,5.0,Неймовірно красиве місце. Вражає архітектура будівлі. Краса ззовні і всередині будівлі університету. Рекомендую відвідати!,original,Happiness,Gratitude / Positive Feedback,122,train
2489,5.0,"Якщо ви любите тварин і хочете дарувати і своє кохання - це найкраще місце. Тут ви можете потискати тварин, вигуляти їх, купувати та допомогти знайти сім'ю. Працівники КП дуже відповідально підходять до своєї роботи та піклуються про…",original,Happiness,Gratitude / Positive Feedback,234,train
15705,5.0,"Хотів подякувати працівнику Ірині, яка домогла нам оформити і отримати потрібні документи :)",original,Happiness,Gratitude / Positive Feedback,92,train
8014,,Указаний номер телефону  не обслуговується. Ніде немає режиму роботи. Він взагалі у Пологах працює??,original,Sadness,Complaint / Dissatisfaction,100,train
16134,5.0,"Дуже гарне місце! Просто дух захоплює. Тут хочеться навчатися, навіть байдуже на якій спеціальності!",original,Happiness,Gratitude / Positive Feedback,100,train
5295,5.0,"Я Вовченко Ліза. Учениця комп'ютерної академії КРОК у Харкові. І хочу залишити відгук про найкращий вуз, тут мене навчили дуже багато від програмування до фотографії, Всі викладачі доброзичливі і завжди готові допомогти колись не виходить.…",original,Happiness,Gratitude / Positive Feedback,240,train
6669,1.0,"Обслуговання жахливе документи дивляться і заповнюють в холі людей повно,черги,свої питання мусиш розповідати присилюдно щоб всі чули в кабінет зайти щось спитати тобі хамлять. ксерокса нема треба бігти до варуса щоб зробити копії .ми плаьим подаьки і ви працюєте получаєте зарплати то будьласка щось міняйте",original,Anger,Complaint / Dissatisfaction,308,train
7102,5.0,"Прекрасний сервіс, лише шкода, що скоротили час прийому по буднях до 18.00. Раніше було дуже зручно, що після роботи ще можна було встигнути зробити все",original,Sadness,Complaint / Dissatisfaction,152,train
14069,5.0,"Дуже якісне обслуговування, працівники привітні та ввічливі. Залишилися лише приємні враження",original,Happiness,Gratitude / Positive Feedback,93,train
8664,5.0,"На пл. Ринок ЦНАП м.Львова, швидке ьа якісне вирішення питань",original,Happiness,Gratitude / Positive Feedback,61,train
7893,5.0,"Дуже ввічливий колектив, на консультації все роз'яснили, підібрали оптимальний варіант під запит",original,Happiness,Gratitude / Positive Feedback,96,train
15887,1.0,"керівництво університету закрили вхід, при цьому на воротах написано укриття, створилась черга з 300+ людей яких пускають по одному раз в пів години.…",original,Anger,Complaint / Dissatisfaction,150,train
11925,5.0,Навчання в цьому коледжі викликає позитивні враження. Викладачі — професіонали своєї справи.,original,Happiness,Gratitude / Positive Feedback,92,train
7797,5.0,"У січні оформляли документи на реконструкцію офісних приміщень (більше 2000 кв.м.) усі БТІ та юридичні організації говорили, що буде довго дорого і важко. З хлопцями все пройшло швидко в ДАБК і з техпаспортом БТІ та реєстрацією прав власності. І їхні послуги були дешевшими ніж у всіх. Дякую. Рекомендую.",original,Happiness,Gratitude / Positive Feedback,304,train
2919,,"У приміщенні колишнього дитсадка потрібно зменшитися до габаритів дитини, щоб усі відвідувачі помістилися, не створюючи незручностей. Наявність правосуддя – окрема велика тема",original,Neutral,Complaint / Dissatisfaction,175,train
2356,1.0,"На вул. Шекспіра 9 у дворі проживає 7 собак, на них оформлений договір опіки який порушується майже по всім пунктам, опікун поводить себе агресивно, на скарги сусідів реагує матом. Від мешканців сусідніх будинків та від дільничого вже…",original,Anger,Complaint / Dissatisfaction,235,train
15763,1.0,"Дозвонились неможливо, соціальні допомоги затримують, в чергах ну дуже довго стояти, пенсіонери чи вагітні без різниці, всі стояти. Обслуговування жахливе, персонал не кваліфікований",original,Anger,Complaint / Dissatisfaction,182,train
2429,5.0,"Приїхали із чоловіком за котиками. Дуже хвилювалися, адже у таких місцях не бували. Велике дякую Лілі! Познайомила із котами. Відповідала на всі запитання. У нас було багато часу потискати котиків. Взяли двох дівчаток. Нам провели…",original,Happiness,Gratitude / Positive Feedback,231,train
5609,5.0,"Дуже хороша школа, викладачі навчають цікаво та доступно",original,Happiness,Gratitude / Positive Feedback,56,train
222,1.0,"Хами на вул. Володимира Антоновича.. не приємно працювати із такими людьми. Коли не можуть щось вирішити, включають ""мороз"". А ти з двомісячною дитиною бігай до них через день, то обід у них, то талонів нема",original,Anger,Complaint / Dissatisfaction,207,train
6083,1.0,Чекаєш по 3 години поки викличуть Хоча час призначено. Суд просто відстій.,original,Anger,Complaint / Dissatisfaction,74,train
14146,5.0,"Здавала в цьому сервісному центрі теоретичний і практичний іспит. Сервіс на високому рівні, все швидко, чітко, без проблем. Хоч практичний іспит і не здала з першого разу, але залишилась приємно вражена ставленням інспекторів до учня, все…",original,Happiness,Gratitude / Positive Feedback,239,train
17520,5.0,"Проводила обмін паспорта, все сбодобалося, гарний прийом",original,Happiness,Gratitude / Positive Feedback,56,train
6643,5.0,Люди працюють чудово. Усі привітні до вас і дуже чуйні.,original,Happiness,Gratitude / Positive Feedback,55,train
14789,5.0,"Львів – одна з найкращих міжнародних подорожей з точки зору задоволення та вражень, які ви отримуєте за витрачені гроші. Місто зуміло зберегти свій історичний колорит, люди поважні, ми його полюбили.",original,Happiness,Gratitude / Positive Feedback,199,train
1594,4.0,"Задум сам по собі чудовий! Але є багато недоробок. Наприклад: робота ПЗ. Навіщо підключати до серверів Києва, які постійно вилітають? Можна ж зробити місцевий сервер, який потім синхронізуватиме дані з основним. Наприклад, уночі. А так мені сподобалося і обслуговування та інтер'єр. Чекав близько години, доки не працювало ПЗ.",original,Anger,Complaint / Dissatisfaction,326,train
7439,,"Філія пекла, хоча співробітники не винні. Своє питання вирішило миттєво – лише близько години, мені пощастило.",original,Neutral,Gratitude / Positive Feedback,110,train
3246,1.0,"Прийшла до 8-30, черга 50-60 чоловік, пощастило, що не працював сервіс з оформлення паспорта і черга розійшлася. Вийшла в 10-30, просто жах.",original,Anger,Complaint / Dissatisfaction,140,train
2490,1.0,"Не віддавайте туди своїх тварин. Цуценят присипають через добу, а дорослих собак за тиждень. І все це за бюджетні гроші за допомогою нашого ""улюбленого"" мера.
У всій Україні, на мою думку, тільки в Харкові залишилися такі ""притулки"".…",original,Anger,Complaint / Dissatisfaction,234,train
12118,5.0,"Звертався до цпд Черкаси.
Консультацію провів юрист Олександр Павлович, юрист з військового права.
Рекомендую!!!",original,Happiness,Gratitude / Positive Feedback,112,train
16883,5.0,"Тут, у гімназії, колись навчався Гоголь. Нині відверто слабенький навчальний заклад",original,Sadness,Complaint / Dissatisfaction,83,train
4841,5.0,"Зараз проходжу навчання в IT Step Academy. Мені подобається, що багато практики та матеріал подають доступно. Викладачі досвідчені, завжди допомагають. Атмосфера дружня, є мотивація вчитися. Загалом я задоволений і вважаю, що обрав хороший напрям для розвитку в ІТ.",original,Happiness,Gratitude / Positive Feedback,265,train
8226,5.0,"Гарна будівля. Найцікавіше те що на міській раді лелече гніздо. Треба розуміти, що вони сюди прилітають постійно. Вперше зустрічаю такий приємний випадок. Нехай приносять щастя не тільки міській раді, а і всій міській громаді Яворова :)",original,Happiness,Gratitude / Positive Feedback,236,train
8684,5.0,"Дуже дбайливий персонал, все розʼяснили в допомогли! Дякую!",original,Happiness,Gratitude / Positive Feedback,59,train
12728,5.0,"Хочу щиро подякувати Олександру Павловичу за допомогу!!! Ця людина справжній професіонал у своїй справі, швидко і якісно допоміг вирішити мою проблему, щиро рекомендую усім!!!",original,Happiness,Gratitude / Positive Feedback,175,train
4560,1.0,"Бути художником вас тут точно НЕ навчать!

Викладачі дають завдання але нічого не розповідають і не вчать, мов піди в…",original,Anger,Complaint / Dissatisfaction,118,train
17144,5.0,"Гарний сервіс, швидко надані процедури, приємний та компетентний персонал.",original,Happiness,Gratitude / Positive Feedback,74,train
1825,5.0,"Чудовий персонал, ввічливий чуйний, не проти допомогти, проконсультувати, а головне зробити все якомога швидше. Невелика черга з однієї людини не напружує, як на мене так надала можливість трохи довше милуватися чарівними співробітницями.",original,Happiness,Gratitude / Positive Feedback,238,train
9861,,Сьогодні відкриття військової кафедри. Ще один важливий аспект розвитку країни,original,Happiness,Neutral Comment,78,train
1035,3.0,"Мені здається, що наша кузня супер-кадрів в IT має виглядати сучасніше.",original,Neutral,Suggestion / Idea,71,train
390,1.0,"Хамське ставлення. Модерації живої черги немає. У співробітників немає беджів. По виду керівник відділення тільки і робить що виганяє людей в черзі на вулицю, щоб не заважали! Цікава перерва на дезінфекцію, хоча в інших відділеннях такого немає",original,Anger,Complaint / Dissatisfaction,244,train
14199,5.0,"Молодці,відношення на вищому рівні ,дякую за допомогу!",original,Happiness,Gratitude / Positive Feedback,54,train
17166,1.0,"Нічого дивного в нашому місті, коли телефонуєш з самого ранку і не можеш дізнатися відповідь на звичайне питання.
Заради консультації, треба зриватися з роботи і їхати, сидіти у вас пів дня 🤬…",original,Anger,Complaint / Dissatisfaction,192,train
7989,5.0,Цілком задоволений цим бюро. Тетяна Петрівна Золотий співробітник. Дякуємо за професіоналізм👍…,original,Happiness,Gratitude / Positive Feedback,94,train
4235,5.0,"Дуже сильні викладачі Мурликіна Наталія Віталіївна та Новіков Олексій Валентинович. Дочка за рік відвідуючи їх курси просто інакше стала сприймати навчання. Не з позиції ""треба"", а з позиції ""нічого собі як може бути цікаво на навчанні"". Дуже рекомендую. Шкода, що сама не навчалася у цьому університеті. Хоча маю дві вищі освіти.",original,Happiness,Gratitude / Positive Feedback,330,train
16465,5.0,"Дуже красивий ансамбль будівель. При відвідуванні рекомендую відразу взяти екскурсію при вході на територію комплексу, щоб потрапити всередину головного корпусу, і побачити дуже красиві ЗАЛИ",original,Happiness,Suggestion / Idea,190,train
17109,5.0,Особлива подяка відділу оформлення паспортів а саме начальнику відділу. Ось де де а тут людей з інвалідністю дійсно приймають позачергових не зважаючи на труднощі повьязані з цим. Дуже людяний відділ та дуже людяні співробітники. Заслуговують тільки подяки та поваги. Дякую!!!!,original,Happiness,Gratitude / Positive Feedback,277,train
10005827,,"Доброго дня! Підкажіть, будь ласка коли можна буде подати заяву на відшкодування власникам зруйнованого майна, яке знаходиться у спільній власності подружжя?",original,Neutral,Question / Request for Help,157,train
16578,5.0,Неймовірне місце. Приїхав заради цього місця в пару днів. Краще один раз побачити екскурсію.,original,Happiness,Gratitude / Positive Feedback,92,train
3613,,"Закінчив у 1988 році. Було приголомшливо тут вчитися. Шкода, що привітатися з преподами вже не вийде. був.Сподіваюся, що і є. Коли технар на Плехановській знаходився, іноді вчилися в 2 зміни. пішов,55 ще не было.Народ,хто хоче вивчитися норм,але в ХЕМТ;)",original,Happiness,Gratitude / Positive Feedback,254,train
3228,5.0,"Був у центрі 15.11.2021року
Просто супер, жінка на рицепшині пояснила все зрозуміло, допомогла зареєструватися. Видно що людина знаходиться на своєму місці, дякую!!!",original,Happiness,Gratitude / Positive Feedback,165,train
12945,5.0,"Була на консультації у Станіслава Васильовича, дуже задоволена",original,Happiness,Gratitude / Positive Feedback,62,train
10670,1.0,"Обслуговував Олексій Петраш.
Рукожоп.Крадії.Не рекомендую!",original,Anger,Complaint / Dissatisfaction,58,train
12127,5.0,"Була на консультації у Валерії Юріївна спеціалістом задоволена,надала якісну консультацію",original,Happiness,Gratitude / Positive Feedback,89,train
6970,5.0,"Хочу висловити свою подяку персоналу сервісу за чуйність та персональний підхід до клієнта! Просто чудово пройшов сьогодні наш візит до паспортного сервісу! Прийшла з 9 міс.дитиною для оформлення його паспорта, нас миттєво відправили без…",original,Happiness,Gratitude / Positive Feedback,238,train
3526,5.0,"Найкращий вуз. Комфортні гуртожитки, нові аудиторії, спорткомплекс, басейн, палац студентів, величезна бібліотека та безліч різних курсів. І звичайно ж викладачі, які не лише теоретики, а й практики.",original,Happiness,Gratitude / Positive Feedback,199,train
10005174,,Добрий вечір. Підкажіть будласка чому мені не приходить виплата ?,cosmus,Sadness,Question / Request for Help,65,train
8423,5.0,"Скільки разів була у соц захисті - завжди отримувала допомогу і людське ставлення. Робота із людьми завжди дуже важка, але ви із нею справляєтеся добре !)",original,Happiness,Gratitude / Positive Feedback,154,train
15635,1.0,ВІТАЮ неможливо додзвонитись викликають???проживаю м.Гостомель...на 7 .10. суд . Де ваша логіка???,original,Anger,Complaint / Dissatisfaction,98,train
4583,5.0,"Була  дуже приємно вражена чуйним та уважним ставленням , високим професіоналізмом працівників ЦНАП . Дякую за Ваше розуміння і увагу . Оформили ВПО двом літнім людям максимально швидко  . Додзвонилась на запис в електронну чергу з  першого разу .",original,Happiness,Gratitude / Positive Feedback,247,train
5597,5.0,"Чудова школа для розвитку лідерських, професійних та інших цікавих та корисних навичок у дітей та підлітків!",original,Happiness,Gratitude / Positive Feedback,108,train
815,5.0,"Вхід з двору. Тут працюють люди, відданій своїй справі!",original,Happiness,Gratitude / Positive Feedback,55,train
10005658,,"@JollyRogerFlag Прошу про допомогу.Мій дім навпроти, вибило всі вікна. Буду щиро вдячна будь-якій підтримці,бо як я зрозуміла, ЄВідновлення буде працювати після війни і то, коли створять комісії. Всім дякую за підтримку  Приват: 123 Моно: 123",original,Sadness,Question / Request for Help,242,train
540,1.0,"У Хортицькому відділі субсидій вирішити питання неможливо складно. Прийому немає. Телефони на міський зв'язок, який мобільні оператори не обслуговують або автовідповідач. Людям пенсійного віку подолати це складно. Знущання.",original,Anger,Complaint / Dissatisfaction,223,train
1408,5.0,"Все залежить, звичайно, від факультету та спеціальності.",original,Neutral,Neutral Comment,56,train
3744,5.0,Мені потрібно було зробити оцінку земельної ділянки для продажу. Звернувся до компанії «Дельта-Консалтинг». Фахівці цієї фірми зробили оцінку за один день та допомогли нам швидко оформити угоду.,original,Happiness,Gratitude / Positive Feedback,194,train
10281,5.0,"Робив сьогодні пірсинг,все сполобалось,дуже чудовий заклад",original,Happiness,Gratitude / Positive Feedback,58,train
16185,3.0,"Гарне місце, але брак екскурсоводів на свята - це мінус.",original,Sadness,Complaint / Dissatisfaction,56,train
12792,5.0,Був на консультації у Валерії Юріївни з військового права щодо змін в законодавстві.Консультацією задоволений.,original,Happiness,Gratitude / Positive Feedback,110,train
16002,5.0,"Резиденція православних митрополитів Буковини і Далмації – унікальна архітектурна споруда. Будували її 18 років, розпочавши роботи у 1864 році. Будівництво резиденції не мало аналогів на Буковині й коштувало на той час астрономічні гроші.…",original,Neutral,Neutral Comment,239,train
1817,1.0,"Дуже погано поставлена робота. Спочатку спеціалісти вимагають довідку від БТІ, а потім з'ясовується що вони подають електронний запит. Спеціалісти хамовиті. Дуже високої думки про себе. Отримують зарплату з наших податків, а ведуть себе як…",original,Anger,Complaint / Dissatisfaction,240,train
14195,5.0,"Складала практичний іспит в Сервісному центрі м.Переяслав. Іспит склала з другої спроби. Організація процесу здачі іспиту на високому рівні.  Персонал Центру та екзаменатори ввічливі та порядні.
Рекомендую.",original,Happiness,Gratitude / Positive Feedback,206,train
15840,5.0,"Дуже гарне місце із незвичною архітектурою. Вхід платний. Але варта погуляти, подивитись. В саме приміщення не пускають - тільки для працівників.",original,Neutral,Neutral Comment,145,train
10000819,,Радимо звернутись щодо цього питання на пошту — some.mail@com.com,original,Neutral,Suggestion / Idea,65,train
10000090,,"Якщо хочете добряче поплатаки (від радості й від суму), раджу цю книжку. Коротенькі історії без пафосу про людей Майдану.",original,Happiness,Suggestion / Idea,121,train
344,1.0,"компанія не виконує своїх обов'язків, гроші справно вимагають",original,Anger,Complaint / Dissatisfaction,61,train
14161,5.0,"Дякую, за швидку роботу, дуже привітні співробітники!",original,Happiness,Gratitude / Positive Feedback,53,train
6703,5.0,"Після операції на коліні треба було перевезти тата додому. Айболіт виконав це на відмінно. Швидко, оперативно, якісно. Так тримати!!",original,Happiness,Gratitude / Positive Feedback,132,train
